,Emis
1750,9.108749999999999
1751,9.108749999999999
1752,9.108749999999999
1753,9.108749999999999
1754,9.108749999999999
1755,9.108749999999999
1756,9.108749999999999
1757,9.108749999999999
1758,9.108749999999999
1759,9.108749999999999
1760,9.108749999999999
1761,9.108749999999999
1762,9.108749999999999
1763,9.108749999999999
1764,9.108749999999999
1765,9.108749999999999
1766,9.108749999999999
1767,9.108749999999999
1768,9.108749999999999
1769,9.108749999999999
1770,9.108749999999999
1771,9.108749999999999
1772,9.108749999999999
1773,9.108749999999999
1774,9.108749999999999
1775,9.108749999999999
1776,9.108749999999999
1777,9.108749999999999
1778,9.108749999999999
1779,9.108749999999999
1780,9.108749999999999
1781,9.108749999999999
1782,9.108749999999999
1783,9.108749999999999
1784,9.108749999999999
1785,9.108749999999999
1786,9.108749999999999
1787,9.108749999999999
1788,9.108749999999999
1789,9.108749999999999
1790,9.108749999999999
1791,9.108749999999999
1792,9.108749999999999
1793,9.108749999999999
1794,9.108749999999999
1795,9.108749999999999
1796,9.108749999999999
1797,9.108749999999999
1798,9.108749999999999
1799,9.108749999999999
1800,9.108749999999999
1801,9.108749999999999
1802,9.108749999999999
1803,9.108749999999999
1804,9.108749999999999
1805,9.108749999999999
1806,9.108749999999999
1807,9.108749999999999
1808,9.108749999999999
1809,9.108749999999999
1810,9.108749999999999
1811,9.108749999999999
1812,9.108749999999999
1813,9.108749999999999
1814,9.108749999999999
1815,9.108749999999999
1816,9.108749999999999
1817,9.108749999999999
1818,9.108749999999999
1819,9.108749999999999
1820,9.108749999999999
1821,9.108749999999999
1822,9.108749999999999
1823,9.108749999999999
1824,9.108749999999999
1825,9.108749999999999
1826,9.108749999999999
1827,9.108749999999999
1828,9.108749999999999
1829,9.108749999999999
1830,9.108749999999999
1831,9.108749999999999
1832,9.108749999999999
1833,9.108749999999999
1834,9.108749999999999
1835,9.108749999999999
1836,9.108749999999999
1837,9.108749999999999
1838,9.108749999999999
1839,9.108749999999999
1840,9.108749999999999
1841,9.108749999999999
1842,9.108749999999999
1843,9.108749999999999
1844,9.108749999999999
1845,9.108749999999999
1846,9.108749999999999
1847,9.108749999999999
1848,9.108749999999999
1849,9.108749999999999
1850,9.108749999999999
1851,9.108749999999999
1852,9.108749999999999
1853,9.108749999999999
1854,9.108749999999999
1855,9.108749999999999
1856,9.108749999999999
1857,9.108749999999999
1858,9.108749999999999
1859,9.108749999999999
1860,9.108749999999999
1861,9.108749999999999
1862,9.108749999999999
1863,9.108749999999999
1864,9.108749999999999
1865,9.108749999999999
1866,9.108749999999999
1867,9.108749999999999
1868,9.108749999999999
1869,9.108749999999999
1870,9.108749999999999
1871,9.108749999999999
1872,9.108749999999999
1873,9.108749999999999
1874,9.108749999999999
1875,9.108749999999999
1876,9.108749999999999
1877,9.108749999999999
1878,9.108749999999999
1879,9.108749999999999
1880,9.108749999999999
1881,9.108749999999999
1882,9.108749999999999
1883,9.108749999999999
1884,9.108749999999999
1885,9.108749999999999
1886,9.108749999999999
1887,9.108749999999999
1888,9.108749999999999
1889,9.108749999999999
1890,9.108749999999999
1891,9.108749999999999
1892,9.108749999999999
1893,9.108749999999999
1894,9.108749999999999
1895,9.108749999999999
1896,9.108749999999999
1897,9.108749999999999
1898,9.108749999999999
1899,9.108749999999999
1900,9.108749999999999
1901,9.108749999999999
1902,9.108749999999999
1903,9.108749999999999
1904,9.108749999999999
1905,9.108749999999999
1906,9.108749999999999
1907,9.108749999999999
1908,9.108749999999999
1909,9.108749999999999
1910,9.108749999999999
1911,9.108749999999999
1912,9.108749999999999
1913,9.108749999999999
1914,9.108749999999999
1915,9.108749999999999
1916,9.108749999999999
1917,9.108749999999999
1918,9.108749999999999
1919,9.108749999999999
1920,9.108749999999999
1921,9.108749999999999
1922,9.108749999999999
1923,9.108749999999999
1924,9.108749999999999
1925,9.108749999999999
1926,9.108749999999999
1927,9.108749999999999
1928,9.108749999999999
1929,9.108749999999999
1930,9.108749999999999
1931,9.108749999999999
1932,9.108749999999999
1933,9.108749999999999
1934,9.108749999999999
1935,9.108749999999999
1936,9.108749999999999
1937,9.108749999999999
1938,9.108749999999999
1939,9.108749999999999
1940,9.108749999999999
1941,9.108749999999999
1942,9.108749999999999
1943,9.108749999999999
1944,9.108749999999999
1945,9.108749999999999
1946,9.108749999999999
1947,9.108749999999999
1948,9.108749999999999
1949,9.108749999999999
1950,9.108749999999999
1951,9.108749999999999
1952,9.108749999999999
1953,9.108749999999999
1954,9.108749999999999
1955,9.108749999999999
1956,9.108749999999999
1957,9.108749999999999
1958,9.108749999999999
1959,9.108749999999999
1960,9.108749999999999
1961,9.108749999999999
1962,9.108749999999999
1963,9.108749999999999
1964,9.108749999999999
1965,9.108749999999999
1966,9.108749999999999
