,Emis
1750,1.570869725620087
1751,1.5751164307719696
1752,1.5793572325277878
1753,1.5835860287768797
1754,1.5878089205743118
1755,1.59202286189011
1756,1.5967616640356495
1757,1.6009576999833544
1758,1.6051447829391754
1759,1.6093229163241065
1760,1.6134890481060007
1761,1.618033100949149
1762,1.6217673263045198
1763,1.625492620695178
1764,1.6292089781527133
1765,1.6329163980005563
1766,1.6376703044447463
1767,1.641359848511489
1768,1.6450404502770004
1769,1.6487121099843194
1770,1.652374826516155
1771,1.6678855135858726
1772,1.682279104472587
1773,1.6966577435697405
1774,1.7110214323477937
1775,1.725370172181566
1776,1.7408753026089452
1777,1.7551941527726933
1778,1.7694980604216082
1779,1.7837870284364954
1780,1.798249607927393
1781,1.80622483442806
1782,1.8127133743040187
1783,1.819192537933665
1784,1.825646584715278
1785,1.8321089170650782
1786,1.8404498535649072
1787,1.8468776672415268
1788,1.8534137396977926
1789,1.859823424353269
1790,1.8662318802297146
1791,1.8702707676208326
1792,1.8726197044388269
1793,1.8747910881989278
1794,1.8768966956868574
1795,1.8790246194916678
1796,1.8819526590118807
1797,1.8850037468987744
1798,1.8879197043290603
1799,1.8911027785028085
1800,1.8942306191019318
1801,1.907956188598843
1802,1.9244129698706527
1803,1.938271262636168
1804,1.953761134239675
1805,1.9669341388519292
1806,1.9819648096269893
1807,1.996476996939672
1808,2.0091196390348824
1809,2.0226695329201143
1810,2.0377135839150844
1811,2.048583055094217
1812,2.058792206289786
1813,2.0680130324637758
1814,2.0776632371830464
1815,2.0876089241794045
1816,2.099436834704215
1817,2.109383862782953
1818,2.1183403607488307
1819,2.1279129808667374
1820,2.137374261595107
1821,2.1552719858337293
1822,2.1741437331928424
1823,2.1940068635502485
1824,2.2130752324951053
1825,2.2316198293774554
1826,2.249321077211129
1827,2.2696744907447175
1828,2.2871522100784207
1829,2.3041771876517734
1830,2.3351735220882834
1831,2.3505094567324445
1832,2.3681735818816776
1833,2.3863785868371075
1834,2.405234203096644
1835,2.4236547716321937
1836,2.4518227906039196
1837,2.468150777300346
1838,2.4875232398035028
1839,2.5066382676130066
1840,2.52804482877793
1841,2.5480869854995594
1842,2.5691531441322737
1843,2.5894602324560476
1844,2.6122595740339913
1845,2.638741807829566
1846,2.654139357671301
1847,2.6798472617741504
1848,2.6969920933916436
1849,2.7186498113068804
1850,2.7437206385126363
1851,2.7531709907617623
1852,2.771350046482128
1853,2.7918301526064098
1854,2.8329772000638425
1855,2.8481269952975565
1856,2.8738273558350764
1857,2.888005839039308
1858,2.9029695440485614
1859,2.929083521556343
1860,2.9601248333009287
1861,2.977587406631682
1862,2.991117748273353
1863,3.0344908974062457
1864,3.061300641259954
1865,3.083586325454495
1866,3.1055300083060917
1867,3.125303334083711
1868,3.141207001165109
1869,3.1694089569354635
1870,3.1999588127239793
1871,3.221399418871196
1872,3.2616333959888166
1873,3.288853651293175
1874,3.2801125335911596
1875,3.30461541104929
1876,3.3163934379102726
1877,3.33463884473971
1878,3.3429295369362184
1879,3.376357266041555
1880,3.437812469321238
1881,3.454565281539439
1882,3.4862812785182773
1883,3.517547349472205
1884,3.52676874713828
1885,3.5330909504693757
1886,3.5438261860094715
1887,3.5726868050472604
1888,3.6311475723386115
1889,3.6348019037538424
1890,3.6954663168400175
1891,3.726497047149846
1892,3.735775551107921
1893,3.7274531309334575
1894,3.74962617448754
1895,3.7938711384888317
1896,3.815504335925891
1897,3.8439682149836494
1898,3.878458475044795
1899,3.9501353260716328
1900,3.991733575168737
1901,4.020132311053272
1902,4.0591010140214205
1903,4.14781493015986
