Year,Emis
1750,1.6422031671625625
1751,1.646642715863951
1752,1.6510760930951305
1753,1.6554969196476332
1754,1.6599115736263965
1755,1.6643168706807463
1756,1.6692708625777442
1757,1.6736574411784166
1758,1.678034660230434
1759,1.6824025233101385
1760,1.6867578397921228
1761,1.691508238790249
1762,1.695412035906886
1763,1.6993064965022975
1764,1.7031916143370458
1765,1.7070673887038386
1766,1.7120371707880668
1767,1.715894257631725
1768,1.7197419961028457
1769,1.7235803864555037
1770,1.7274094275216716
1771,1.7436244573330728
1772,1.7586716634479365
1773,1.773703238810121
1774,1.7887191849568616
1775,1.803719503325408
1776,1.819928724166468
1777,1.8348977955703687
1778,1.8498512459174854
1779,1.8647890782194414
1780,1.8799084057218647
1781,1.8882457885134674
1782,1.8950289740066844
1783,1.901802357476768
1784,1.9085494835387946
1785,1.9153052714179644
1786,1.9240249711573645
1787,1.9307446728649706
1788,1.9375775494004495
1789,1.9442782988452076
1790,1.950977763711886
1791,1.9552000576152766
1792,1.9576556600239694
1793,1.9599256466624575
1794,1.9621268701179
1795,1.9643514232776857
1796,1.9674124255334726
1797,1.9706020638016435
1798,1.9736504353178979
1799,1.9769780533909878
1800,1.980247929724133
1801,1.9945967794927155
1802,2.01180086579287
1803,2.0262884658145786
1804,2.042481734926172
1805,2.056252927751695
1806,2.0719661436529293
1807,2.0871373316761352
1808,2.1003540781392207
1809,2.114519274838941
1810,2.1302464785579787
1811,2.1416095341345365
1812,2.1522822844931233
1813,2.161921829835309
1814,2.1720102518701134
1815,2.182407574078726
1816,2.1947725918825367
1817,2.2051713160722906
1818,2.21453453002082
1819,2.2245418443252993
1820,2.234432763301034
1821,2.2531432260149713
1822,2.2728719423926416
1823,2.293637060626631
1824,2.3135713272072076
1825,2.3329580371534617
1826,2.3514631014379708
1827,2.3727407666843576
1828,2.391012152004522
1829,2.4088102364897233
1830,2.4412141193527486
1831,2.457246461203438
1832,2.475712717056562
1833,2.494744414153032
1834,2.5144562669153547
1835,2.533713316368054
1836,2.5631604495157783
1837,2.580229892658604
1838,2.600482061733837
1839,2.62046510596545
1840,2.6428437424429077
1841,2.6637960166565042
1842,2.685818792869176
1843,2.7070480292706773
1844,2.730882692538977
1845,2.758567488740308
1846,2.7746642437443922
1847,2.8015395478197482
1848,2.819462928940103
1849,2.842104127235446
1850,2.8683134246515163
1851,2.8781929188840443
1852,2.897197488386601
1853,2.9186075993541705
1854,2.961623140714426
1855,2.9774608905347355
1856,3.0043283084902725
1857,3.0191506388489278
1858,3.034793848058388
1859,3.062093665395922
1860,3.094544567993664
1861,3.1128001195285
1862,3.1269448761142016
1863,3.172287606777455
1864,3.2003147853202196
1865,3.22361246594247
1866,3.246552614886953
1867,3.2672238505010487
1868,3.283849705608328
1869,3.313332316630049
1870,3.345269446179386
1871,3.367683673627143
1872,3.409744681979711
1873,3.438201013362726
1874,3.4290629601297473
1875,3.45467851711074
1876,3.4669913860256947
1877,3.4860653196516322
1878,3.494732493485988
1879,3.5296781810325264
1880,3.5939240747680348
1881,3.61143763482646
1882,3.644593860221157
1883,3.6772797283793213
1884,3.6869198711651374
1885,3.693529166744803
1886,3.7047518910208237
1887,3.734923075312646
1888,3.796038555250178
1889,3.7998588304302756
1890,3.863278024065095
1891,3.8957178647234607
1892,3.905417707006988
1893,3.8967173644222024
1894,3.919897289374779
1895,3.966151424156856
1896,3.9887669884952457
1897,4.018523416782087
1898,4.054579884982411
1899,4.129511593098466
1900,4.172998825235885
1901,4.202687152187749
1902,4.243425430092525
1903,4.336167859129046
1904,4.352973384659123
1905,4.427058318766902
1906,4.495679128941321
1907,4.647000570115527
1908,4.593536136576543
1909,4.6717533638767685
1910,4.76184712456743
1911,4.803330893242238
1912,4.879843724012392
1913,5.029381795819708
1914,4.877566753883035
1915,4.844914260722555
1916,4.938988164823966
1917,4.978321613193621
1918,4.952436339450266
1919,4.77852708410833
1920,5.021289086240153
1921,4.866884384096055
1922,5.038652166065827
1923,5.311556876436908
1924,5.3373056636252
1925,5.40600652950018
1926,5.375479931460135
1927,5.648378231832518
1928,5.655754865695918
1929,5.85097464042676
1930,5.655081301014024
1931,5.47830587040452
1932,5.321789897925049
1933,5.46551268825745
