Year,Emis
1750,1.44844760
1751,1.45234736
1752,1.45624123
1753,1.46012417
1754,1.46400122
1755,1.46786986
1756,1.47217202
1757,1.47602373
1758,1.47986703
1759,1.48370192
1760,1.48752587
1761,1.49160802
1762,1.49502579
1763,1.49843518
1764,1.50183617
1765,1.50522876
1766,1.50948469
1767,1.51286030
1768,1.51622751
1769,1.51958633
1770,1.52293676
1771,1.53725448
1772,1.55064197
1773,1.56401543
1774,1.57737487
1775,1.59072028
1776,1.60501686
1777,1.61833400
1778,1.63163712
1779,1.64492622
1780,1.65827181
1781,1.66547775
1782,1.67145342
1783,1.67741993
1784,1.68336856
1785,1.68931456
1786,1.69680513
1787,1.70272397
1788,1.70868156
1789,1.71458022
1790,1.72047154
1791,1.72392546
1792,1.72606745
1793,1.72797555
1794,1.72983310
1795,1.73170692
1796,1.73425912
1797,1.73688318
1798,1.73939537
1799,1.74212262
1800,1.74469123
1801,1.75745795
1802,1.77248981
1803,1.78518513
1804,1.79993684
1805,1.81167520
1806,1.82539522
1807,1.83851382
1808,1.85049844
1809,1.86304006
1810,1.87725615
1811,1.88699637
1812,1.89626527
1813,1.90463655
1814,1.91338353
1815,1.92242049
1816,1.93344656
1817,1.94233642
1818,1.95044373
1819,1.95915701
1820,1.96779229
1821,1.98419858
1822,2.00144731
1823,2.01910373
1824,2.03666316
1825,2.05340390
1826,2.06968504
1827,2.08831158
1828,2.10445011
1829,2.12023613
1830,2.14664333
1831,2.16071262
1832,2.17705256
1833,2.19408434
1834,2.21142326
1835,2.22787970
1836,2.25295653
1837,2.26817864
1838,2.28610443
1839,2.30348675
1840,2.32241451
1841,2.34098897
1842,2.36010150
1843,2.37854136
1844,2.39857334
1845,2.42167401
1846,2.43588516
1847,2.45919969
1848,2.47497516
1849,2.49535009
1850,2.51868137
1851,2.52755408
1852,2.54380229
1853,2.56205104
1854,2.59685894
1855,2.61027287
1856,2.63389769
1857,2.64844402
1858,2.66359650
1859,2.68853910
1860,2.71820408
1861,2.73567473
1862,2.74863301
1863,2.77296693
1864,2.79735938
1865,2.81977692
1866,2.84070856
1867,2.87334047
1868,2.88774137
1869,2.91210274
1870,2.93772480
1871,2.95927706
1872,2.99870288
1873,3.02795964
1874,3.02382936
1875,3.04576430
1876,3.05663215
1877,3.07667211
1878,3.08779852
1879,3.12528810
1880,3.18383577
1881,3.20438356
1882,3.23982498
1883,3.27015206
1884,3.28397273
1885,3.29205543
1886,3.31200861
1887,3.34448831
1888,3.41493968
1889,3.42280607
1890,3.50559110
1891,3.55193111
1892,3.56980311
1893,3.56904365
1894,3.58768522
1895,3.65276217
1896,3.67134330
1897,3.69832937
1898,3.73631874
1899,3.81714787
1900,3.86691298
1901,3.91688239
1902,3.96923607
1903,4.09342213
1904,4.11590782
1905,4.21302065
1906,4.27999979
1907,4.46999069
1908,4.40212045
1909,4.47943666
1910,4.57801000
1911,4.63344662
1912,4.73299772
1913,4.90074077
1914,4.75572787
1915,4.76847486
1916,4.91022296
1917,5.00947231
1918,5.01554647
1919,4.80812206
1920,5.12361121
1921,4.94703488
1922,5.11579680
1923,5.55137537
1924,5.53355975
1925,5.61532430
1926,5.61847951
1927,5.84509293
1928,5.82549992
1929,6.04239572
1930,5.74758450
1931,5.52989583
1932,5.32367564
1933,5.50687854
1934,5.63492370
1935,5.80290496
1936,6.05461073
1937,6.34502638
1938,6.15680199
1939,6.33308201
1940,6.55854818
1941,6.70278554
1942,6.65420411
1943,6.82650955
1944,7.05257646
1945,6.81731531
1946,6.92304886
1947,7.07911350
1948,7.40489292
1949,7.33172344
1950,7.80090108
1951,8.12994349
1952,8.28556088
1953,8.46715209
1954,8.60607263
1955,9.08913148
1956,9.40674387
1957,9.50624918
1958,9.72230556
1959,10.09261089
1960,10.30116056
1961,10.33238663
1962,10.61584220
1963,10.96627012
1964,11.24426361
1965,11.51921422
1966,11.89563960
1967,12.16386733
1968,12.83198776
1969,13.43562266
1970,14.16678078
1971,14.43984136
1972,14.87214701
1973,15.26153467
1974,15.06343773
1975,15.28064323
1976,15.71127429
1977,16.13243837
1978,16.71432979
1979,16.71505829
1980,16.47336541
1981,16.42006116
1982,16.40565156
1983,16.45238069
1984,16.59837790
1985,16.98340938
1986,17.03181313
1987,17.28094270
1988,17.50674356
1989,17.53766845
1990,17.18119647
1991,17.20517020
1992,17.01418096
1993,16.91620509
1994,16.49636049
1995,16.55500712
1996,16.20559176
1997,16.09624419
1998,15.78695866
1999,15.32903300
2000,15.29931084
2001,14.94650987
2002,14.48675276
2003,14.45541540
2004,14.60597422
2005,14.59041359
2006,14.43493426
2007,14.20746810
2008,13.98419308
2009,13.61321186
2010,13.67655509
2011,13.69237023
2012,13.75881203
2013,13.70017985
2014,13.39395115
2015,13.16407337
2016,12.69607848
2017,12.50675988
2018,12.26759113
2019,12.07663064
