Year,Emis
1849,2.4863724066843615
1850,2.509605169049533
1851,2.518442656305367
1852,2.5346248158964055
1853,2.5528006667514287
1854,2.587439735073062
1855,2.600814275783551
1856,2.6243385080352097
1857,2.638837275117753
1858,2.6539418108272064
1859,2.6787855118490254
1860,2.708335963392764
1861,2.7257165545264317
1862,2.7386317276654513
1863,2.762887599242918
1864,2.787189084042306
1865,2.8095086219067107
1866,2.8303431753952175
1867,2.862917193864948
1868,2.877294439867397
1869,2.901575886289619
1870,2.9271305887103307
1871,2.948578316610775
1872,2.987885814608028
1873,3.0170247792431284
1874,3.0129169075677713
1875,3.034757795876798
1876,3.0455653696640206
1877,3.065536811928134
1878,3.076592477568346
1879,3.113988695036856
1880,3.1722925160778255
1881,3.19274741241712
1882,3.2280730583176367
1883,3.2583468035682697
1884,3.2721414569278466
1885,3.2802058192575343
1886,3.300046190076616
1887,3.3323806164666756
1888,3.402639961965144
1889,3.410282572587236
1890,3.492745536502176
1891,3.538832798302871
1892,3.5567208130043144
1893,3.556020022831177
1894,3.5744443299869
1895,3.639323553777571
1896,3.657704612387123
1897,3.684555352568634
1898,3.722452522216698
1899,3.8029803712616395
1900,3.8525153961349456
1901,3.9023016079186044
1902,3.9542931702510336
1903,4.077985483729486
1904,4.1001499362757405
1905,4.196801876275098
1906,4.263562987759425
1907,4.4526315376044545
1908,4.3847836657605255
1909,4.461822288784475
1910,4.559879457255938
1911,4.615001169256168
1912,4.714277382602636
1913,4.881158846090449
1914,4.736675143336039
1915,4.749442206604954
1916,4.890490785893137
1917,4.989326133816145
1918,4.995351150604731
1919,4.788071861463163
1920,5.101663726073217
1921,4.925463325004969
1922,5.09283103973595
1923,5.5263874211731085
1924,5.508337758703557
1925,5.589378808223773
1926,5.592743914670461
1927,5.817027792829128
1928,5.7971901384336535
1929,6.0122698049471355
1930,5.718997695512635
1931,5.502372188692415
1932,5.297300799977853
1933,5.479027022775204
1934,5.606376868302247
1935,5.773041586536491
1936,6.022969920096171
1937,6.310827449031657
1938,6.1234899669041525
1939,6.298598164520293
1940,6.52279287892599
1941,6.6632042349097516
1942,6.612785895526376
1943,6.780192008746793
1944,6.998972800530925
1945,6.7603272529110825
1946,6.860703439996708
1947,7.009237824401326
1948,7.324030217567187
1949,7.251328098369416
1950,7.7061191105032005
1951,8.022585331689779
1952,8.168248907265214
1953,8.338017596785951
1954,8.46654107769536
1955,8.930616095260625
1956,9.231792729600865
1957,9.321106923071737
1958,9.520933671168926
1959,9.87111812551006
1960,10.06409485341475
1961,10.100049696071125
1962,10.378408062768951
1963,10.731583429499512
1964,11.010837913633663
1965,11.28234426930325
1966,11.660699270514053
1967,11.929837646015253
1968,12.590176644250938
1969,13.18920103116631
1970,13.917230915295233
1971,14.186600024223766
1972,14.619443128953126
1973,15.001616954364238
1974,14.811982470405008
1975,15.031263035710626
1976,15.465399918465945
1977,15.887765113023356
1978,16.468232034185196
1979,16.468977017579597
1980,16.225851981554005
1981,16.173840043739364
1982,16.165733366860408
1983,16.22265401445785
1984,16.352902613385275
1985,16.675881212637318
1986,16.73106394599961
1987,16.98417202696632
1988,17.212136571436318
1989,17.243551558212037
1990,16.91771988032103
1991,16.95009494842778
1992,16.75894635314
1993,16.671632873748134
1994,16.252240140919415
1995,16.308968009823793
1996,15.989530337655172
1997,15.853405309884051
1998,15.556363680264742
1999,15.118210109515791
2000,15.114462451418719
2001,14.764694297909719
2002,14.302065918884924
2003,14.275100983390626
2004,14.411735868878196
2005,14.377434592795332
2006,14.223058403370418
2007,14.009124537811973
2008,13.8065313601623
2009,13.444902991737672
2010,13.510681654196146
2011,13.512196942368819
2012,13.5839238584672
2013,13.52322150130706
2014,13.225019601808855
2015,12.992311132149963
2016,12.533103659197995
2017,12.331247649837957
2018,12.092855362121503
2019,11.903746997289584
