Years,Emis
1750,12.735211942317768
1751,12.592303237945762
1752,12.594270419616072
1753,12.53982033339792
1754,12.636836783079731
1755,12.76599124957002
1756,12.416162607577874
1757,13.133151801932229
1758,12.979345326040072
1759,12.752546091231231
1760,12.712696040697043
1761,12.96678586324592
1762,12.499789281767244
1763,12.632954728484624
1764,12.576637250641312
1765,12.73808005514036
1766,12.760079050306397
1767,12.745703960584418
1768,13.266403234135954
1769,12.857850792574189
1770,12.898918215849813
1771,12.62324271414712
1772,12.524007465440604
1773,12.46738959491484
1774,12.783902569664896
1775,12.869291157860507
1776,12.407416689395564
1777,12.934583487331036
1778,13.207516945052586
1779,12.696989996519427
1780,12.7150642102733
1781,12.877900016737586
1782,12.46113467516462
1783,12.444383333723517
1784,12.597517209391114
1785,12.552481929134776
1786,12.567811101205404
1787,12.760916940517928
1788,13.264807594000368
1789,12.846261379798046
1790,12.93202741114948
1791,12.639418553071096
1792,12.652724960740574
1793,12.47524671461044
1794,12.816348771677823
1795,12.872587872512922
1796,12.315862419925484
1797,12.944413187522116
1798,13.189856964098109
1799,12.753675747091163
1800,12.703711090289811
1801,12.881578210075109
1802,12.530332506560097
1803,12.394980154563765
1804,12.716132814552418
1805,12.624312677991982
1806,12.734325994930348
1807,12.831973358155818
1808,13.369384811449006
1809,12.94143865973299
1810,13.012132843244911
1811,12.871402399513393
1812,12.73096381766709
1813,12.626185638831176
1814,12.963790027634335
1815,13.066021719780442
1816,12.698183088806626
1817,13.076546506230793
1818,13.497278072979816
1819,13.01846415238541
1820,13.002182670483212
1821,13.235943672593384
1822,12.715016778190462
1823,12.632634916836032
1824,12.99566305669165
1825,12.872461229997606
1826,12.847946558125464
1827,13.016080869656848
1828,13.520464298618515
1829,13.139440279288412
1830,13.264515054652376
1831,12.965550560574089
1832,12.961496084798574
1833,12.827355939976549
1834,13.102359030322225
1835,13.133551767620196
1836,12.867133430325904
1837,13.270384331682742
1838,13.605264977591048
1839,13.18858094627157
1840,12.8895445368548
1841,13.43207834144722
1842,12.928627400551374
1843,12.63268139047172
1844,13.024345477938164
1845,12.999929821414131
1846,12.972553554670752
1847,13.271530276425436
1848,13.6475822359264
1849,13.424114595690696
1850,13.456576847229837
1851,13.172439920844472
1852,13.001819323507366
1853,13.034253236711526
1854,13.421990057867443
1855,13.373651283699797
1856,12.946146656322552
1857,13.660998095817272
1858,13.9294510182842
1859,13.531486507079055
1860,13.338568923855494
1861,13.667803666757012
1862,13.27771597474367
1863,13.044741272187805
1864,13.42555248261248
1865,13.656138439945162
1866,13.57734060635964
1867,13.897618510058097
1868,14.331588558352989
1869,13.94409189653389
1870,14.20074407011024
1871,14.02316495520306
1872,13.725273260938089
1873,14.156463683462135
1874,14.352255685607927
1875,14.16158404148277
1876,14.037110848208746
1877,14.496477320282102
1878,14.790857471244523
1879,14.607011947076725
1880,14.40860199170044
1881,14.885095684041412
1882,14.484440945619411
1883,14.270504913420991
1884,14.80607458863925
1885,14.757077388144165
1886,14.8946765949723
1887,15.17142122940599
1888,15.575101840595126
1889,15.526711459579868
1890,15.791948531981676
1891,15.579730291609286
1892,15.42330661793472
1893,15.487544397540828
1894,16.058103476502154
1895,16.157372163559618
1896,15.549146160517685
1897,16.510755580021115
1898,16.74484506455168
1899,16.734826622895593
1900,16.715739989163662
1901,17.086816972944238
1902,17.013058292877982
1903,17.047268493429016
1904,17.737432960200962
1905,18.2980148739324
1906,18.41936116273716
1907,19.46355752125633
1908,19.626144340779305
1909,19.84444900904337
1910,20.447254063280088
1911,20.38225950415204
1912,20.42827701388777
1913,21.198232288606764
1914,21.34701391680138
1915,21.293131630168947
1916,21.683696098753263
1917,23.0041909467954
1918,23.38021168892633
1919,22.75197625507395
1920,24.03917530124086
1921,23.47467209670415
1922,23.81984363316179
1923,26.32202242788179
1924,25.58778998845797
1925,26.22160478298548
1926,26.464342174720567
1927,27.91811904950004
1928,28.145575293203127
1929,29.21456635771085
1930,29.041433054838983
1931,26.95423625858755
1932,26.74457594512289
1933,26.612696027907838
1934,28.259391921436208
1935,28.836652455946016
1936,30.75030733480719
1937,31.451847957878197
1938,30.00000650910028
1939,31.64022958212725
1940,32.71883330406874
1941,33.481980154398734
1942,33.980486342872055
1943,34.96119084124996
1944,36.03881655583992
1945,35.50969960167764
1946,35.50602086858594
1947,37.73867603450445
1948,40.057868217482174
1949,38.96806771197776
1950,43.13346534766149
1951,43.19932780037668
1952,44.29775813127396
1953,46.15027419486882
1954,47.14223946545322
1955,50.45064783117852
1956,53.89237305648907
1957,56.5021551728775
1958,55.97930462125906
1959,57.53015334391428
1960,59.57552345381065
1961,61.54958481798603
1962,63.50039853408268
1963,67.40220069384505
1964,69.79921330180835
1965,72.53323808388623
1966,75.04521589509098
1967,79.47428379478379
1968,83.46364336032606
1969,85.61259582540913
1970,91.39020745252596
1971,93.9954639610205
1972,99.31304653589834
1973,102.61034748182163
1974,102.07597772266304
1975,101.05436634134072
1976,106.04776773719765
1977,108.58561919463652
1978,112.559632775152
1979,115.0059618980382
1980,114.18617964344467
1981,112.05454255022292
1982,112.18814146211471
1983,109.32740265686684
1984,112.74249172600256
1985,114.50513698657949
1986,115.76976299657072
1987,119.6837540856174
1988,124.14956034787264
1989,125.2678309615888
1990,125.6585787017536
1991,130.37284760058986
1992,127.16935207081686
1993,130.5411331632924
1994,132.2742148031943
1995,132.86227726455786
1996,132.86156898475696
1997,137.60108692085606
1998,139.05131879594606
1999,134.49403000396697
2000,135.53333671603502
2001,135.9063122061387
2002,137.61957033828926
2003,140.19264588940948
2004,146.35020127536953
2005,149.84999473507474
2006,153.1895927730249
2007,158.0892750492312
2008,157.7746659619008
2009,152.67707470576568
2010,155.4203535230228
2011,159.27619314722682
2012,158.23998796825614
2013,156.0375564856313
2014,155.64022547015048
2015,155.498060514119
2016,154.0122724215556
2017,152.5264843289922
2018,151.0406962364288
2019,149.55490814386542
2020,148.069120051302
2021,147.4676647948259
2022,146.8662095383498
2023,146.2647542818737
2024,145.6632990253976
2025,145.0618437689215
2026,144.4603885124454
2027,143.8589332559693
2028,143.2574779994932
2029,142.6560227430171
2030,142.054567486541
2031,140.656050054051
2032,139.257532621561
2033,137.859015189071
2034,136.460497756581
2035,135.061980324091
2036,133.663462891601
2037,132.264945459111
2038,130.86642802662098
2039,129.46791059413098
2040,128.069393161641
2041,126.93915117753419
2042,125.8089091934274
2043,124.6786672093206
2044,123.54842522521379
2045,122.41818324110699
2046,121.2879412570002
2047,120.1576992728934
2048,119.0274572887866
2049,117.8972153046798
2050,116.766973320573
2051,115.7647824792206
2052,114.7625916378682
2053,113.7604007965158
2054,112.7582099551634
2055,111.75601911381099
2056,110.7538282724586
2057,109.7516374311062
2058,108.7494465897538
2059,107.7472557484014
2060,106.745064907049
2061,105.69299020928682
2062,104.64091551152464
2063,103.58884081376246
2064,102.53676611600028
2065,101.4846914182381
2066,100.43261672047592
2067,99.38054202271374
2068,98.32846732495156
2069,97.27639262718938
2070,96.2243179294272
2071,95.61136559337682
2072,94.99841325732642
2073,94.38546092127604
2074,93.77250858522564
2075,93.15955624917525
2076,92.54660391312487
2077,91.93365157707447
2078,91.32069924102409
2079,90.70774690497369
2080,90.0947945689233
2081,89.38934556985339
2082,88.68389657078349
2083,87.97844757171357
2084,87.27299857264366
2085,86.56754957357376
2086,85.86210057450384
2087,85.15665157543393
2088,84.45120257636401
2089,83.74575357729411
2090,83.0403045782242
2091,82.50548672508984
2092,81.9706688719555
2093,81.43585101882115
2094,80.9010331656868
2095,80.36621531255244
2096,79.8313974594181
2097,79.29657960628376
2098,78.7617617531494
2099,78.22694390001504
2100,77.6921260468807
